category_id,view_count,like_count,comment_count,duration,duration_seconds
0.6340188348292599,0.029288202340774463,243350.0,-0.33008022284970423,PT57S,-0.32911208729832386
0.017249818382362107,-0.3199201791209225,3393.0,-0.16523475457777764,PT7M50S,0.04443182765655832
0.6340188348292599,2.944977576661188,4178447.0,1.00300802608589,PT47S,-0.3381567341495316
0.42842916268029396,0.5243173143623466,909386.0,0.16240982442890683,PT31S,-0.3526281691114641
0.6340188348292599,-0.21922173735785,44278.0,-0.13817736047521315,PT16S,-0.3661951393882758
0.6340188348292599,0.8011539732460564,1956461.0,0.9745863936252129,PT56S,-0.33001655198344465
-0.18833985376660384,-0.18112813786649365,246338.0,0.12216479286458821,PT1M,-0.3263986932429615
0.6340188348292599,0.37463983440907134,835009.0,0.3675003242651521,PT30S,-0.3535326337965849
-1.2162882145114335,-0.3308871571388576,1569.0,-0.42375792344009566,PT7M17S,0.014584493047572578
0.6340188348292599,1.3210887770207256,2647228.0,1.4579815185164073,PT1M,-0.3263986932429615
0.6340188348292599,-0.0011091726195294133,168522.0,-0.2466343099451566,PT16S,-0.3661951393882758
0.6340188348292599,0.6578887050795864,413243.0,-0.3796475498611249,PT15S,-0.3670996040733966
0.6340188348292599,-0.23393964485285668,92041.0,0.6610389443190242,PT14M51S,0.42521146009240673
0.6340188348292599,-0.31847361120079326,4275.0,-0.42671377321600606,PT24S,-0.35895942190730956
0.6340188348292599,0.2595443675380627,776463.0,0.7654031787146302,PT1M,-0.3263986932429615
0.017249818382362107,-0.30714029010875005,5352.0,-0.4360360686631081,PT10S,-0.3716219274990005
0.6340188348292599,1.5149837210600665,2122004.0,0.8784075893782819,PT17S,-0.36529067470315507
0.6340188348292599,-0.29801126874257,5154.0,-0.3903340836663395,PT16M16S,0.502090958327673
0.6340188348292599,-0.31186924848525155,18095.0,-0.3857866224726312,PT57S,-0.32911208729832386
0.6340188348292599,-0.10517987928845865,162031.0,1.5346062396303926,PT33M30S,1.4373074427425596
0.6340188348292599,-0.024340590354005084,482430.0,0.5223413779109205,PT48S,-0.3372522694644109
0.6340188348292599,-0.23573580505364178,201086.0,6.126177806917684,PT37M52S,1.674277190244204
0.6340188348292599,0.9515891044724047,1762232.0,0.2326680998717004,PT59S,-0.3273031579280823
0.6340188348292599,-0.22033699391133138,175723.0,-0.13863210659458397,PT1M,-0.3263986932429615
