Model,Accuracy,Precision,Recall,F1_Score
Multinomial Naive Bayes,0.8207666666666666,0.8245150374603653,0.8207666666666666,0.8218401806556178
Multinomial Logistic Regression,0.8605,0.8602100892571779,0.8605,0.8603379350207826
