Model,MAE,MSE,RMSE,R2 Score
Simple Linear Regression,196256.61622683355,205870651694.45715,453729.71215742215,0.5340748419207962
Multiple Linear Regression,200084.6919285506,210016419994.00797,458275.4848276394,0.5246921653011352
Polynomial Regression,145168.11531141863,133133500730.22668,364874.637005954,0.6986931023785226
